input_text,target_text
Request Divya to push the changes to GitHub,Push the changes to GitHub
Ping Sneha and share the new code files,Share the new code files
Text Divya to share the onboarding document,Share the onboarding document
Ping John and review the presentation slides,Review the presentation slides
Ping Meera and upload the test results,Upload the test results
Tell Isha to update the deployment plan,Update the deployment plan
Text Neha to review the latest pull request,Review the latest pull request
Tell Rina to schedule the client meeting,Schedule the client meeting
Message Ankit to schedule the client meeting,Schedule the client meeting
Message Sneha to book the conference room,Book the conference room
Message Divya to bring the laptop tomorrow,Bring the laptop tomorrow
Request Karan to confirm interview timings,Confirm interview timings
Ask Rahul if they can review the latest pull request,Can you review the latest pull request?
Send a message to Divya to schedule the client meeting,Schedule the client meeting
Request Sanjay to share the onboarding document,Share the onboarding document
Message Neha to draft the new proposal,Draft the new proposal
Inform Alex to review the latest pull request,Review the latest pull request
Request Sneha to send me the project update,Send me the project update
Tell John to draft the new proposal,Draft the new proposal
Send a message to Rohit to finalize the budget report,Finalize the budget report
Request Divya to bring the laptop tomorrow,Bring the laptop tomorrow
Ask Sneha to review the latest pull request,Review the latest pull request
Ask Alex to finalize the budget report,Finalize the budget report
Ping Neha and send a summary of today’s meeting,Send a summary of today’s meeting
Ping Neha and share the new code files,Share the new code files
Ping Priya and push the changes to GitHub,Push the changes to GitHub
Ping Priya and draft the new proposal,Draft the new proposal
Ask Meera if they can send a summary of today’s meeting,Can you send a summary of today’s meeting?
Inform Ankit to plan the next sprint tasks,Plan the next sprint tasks
Text Rohit to share the new code files,Share the new code files
Ask Isha to check the bug fixes,Check the bug fixes
Request Karan to upload the test results,Upload the test results
Ping Rohit and update the deployment plan,Update the deployment plan
Message Riya to confirm interview timings,Confirm interview timings
Ask Neha to check the bug fixes,Check the bug fixes
Message John to confirm interview timings,Confirm interview timings
Request Alex to confirm interview timings,Confirm interview timings
Ask Rina to submit the daily report,Submit the daily report
Remind Rina to review the presentation slides,Review the presentation slides
Ping Rahul and schedule the client meeting,Schedule the client meeting
Message Riya to review the latest pull request,Review the latest pull request
Message Rahul to book the conference room,Book the conference room
Send a message to Karan to upload the test results,Upload the test results
Remind Rina to book the conference room,Book the conference room
Ask Alex to plan the next sprint tasks,Plan the next sprint tasks
Ping Rohit and review the latest pull request,Review the latest pull request
Message Isha to upload the test results,Upload the test results
Ping Rohit and submit the daily report,Submit the daily report
Message Rina to confirm interview timings,Confirm interview timings
Ping Meera and prepare the meeting notes,Prepare the meeting notes
Ping Isha and prepare the meeting notes,Prepare the meeting notes
Text Priya to finalize the budget report,Finalize the budget report
Ask Neha to book the conference room,Book the conference room
Send a message to Priya to update the deployment plan,Update the deployment plan
Text Neha to check the bug fixes,Check the bug fixes
Remind Sanjay to draft the new proposal,Draft the new proposal
Text Priya to draft the new proposal,Draft the new proposal
Tell Neha to send the invoice to finance,Send the invoice to finance
Text Sneha to send the invoice to finance,Send the invoice to finance
Remind Sneha to share the onboarding document,Share the onboarding document
Inform Rohit to book the conference room,Book the conference room
Inform Priya to update the deployment plan,Update the deployment plan
Request Riya to share the new code files,Share the new code files
Inform Sanjay to share the onboarding document,Share the onboarding document
Request Karan to send me the project update,Send me the project update
Text Meera to push the changes to GitHub,Push the changes to GitHub
Ask Rina to confirm interview timings,Confirm interview timings
Send a message to Priya to send me the project update,Send me the project update
Remind Rohit to confirm interview timings,Confirm interview timings
Tell Alex to bring the laptop tomorrow,Bring the laptop tomorrow
Tell Riya to push the changes to GitHub,Push the changes to GitHub
Ask Ankit if they can plan the next sprint tasks,Can you plan the next sprint tasks?
Send a message to Sanjay to prepare the meeting notes,Prepare the meeting notes
Send a message to Rahul to review the latest pull request,Review the latest pull request
Ask Sneha to schedule the client meeting,Schedule the client meeting
Request Neha to draft the new proposal,Draft the new proposal
Ping Meera and share the new code files,Share the new code files
Inform Rohit to bring the laptop tomorrow,Bring the laptop tomorrow
Ask Rohit if they can confirm interview timings,Can you confirm interview timings?
Inform Sanjay to review the presentation slides,Review the presentation slides
Ask Rohit to update the deployment plan,Update the deployment plan
